sample_id	species	emu_abundance	bracken_abundance	delta
MINNELOVE_SYN_001	Corynebacterium accolens	0.18333333	0.18333333	0.0
MINNELOVE_SYN_001	Dolosigranulum pigrum	0.29166667	0.29166667	0.0
MINNELOVE_SYN_001	Haemophilus influenzae	0.01666667	0.01666667	0.0
MINNELOVE_SYN_001	Lactobacillus crispatus	0.05833333	0.05833333	0.0
MINNELOVE_SYN_001	Moraxella catarrhalis	0.06666667	0.06666667	0.0
MINNELOVE_SYN_001	Neisseria subflava	0.125	0.125	0.0
MINNELOVE_SYN_001	Prevotella melaninogenica	0.06666667	0.06666667	0.0
MINNELOVE_SYN_001	Staphylococcus aureus	0.03333333	0.03333333	0.0
MINNELOVE_SYN_001	Streptococcus pneumoniae	0.05833333	0.05833333	0.0
MINNELOVE_SYN_001	Veillonella parvula	0.1	0.1	0.0
MINNELOVE_SYN_002	Corynebacterium accolens	0.1	0.1	0.0
MINNELOVE_SYN_002	Dolosigranulum pigrum	0.075	0.075	0.0
MINNELOVE_SYN_002	Haemophilus influenzae	0.075	0.075	0.0
MINNELOVE_SYN_002	Lactobacillus crispatus	0.01666667	0.01666667	0.0
MINNELOVE_SYN_002	Moraxella catarrhalis	0.24166667	0.24166667	0.0
MINNELOVE_SYN_002	Neisseria subflava	0.11666667	0.11666667	0.0
MINNELOVE_SYN_002	Prevotella melaninogenica	0.075	0.075	0.0
MINNELOVE_SYN_002	Staphylococcus aureus	0.05833333	0.05833333	0.0
MINNELOVE_SYN_002	Streptococcus pneumoniae	0.20833333	0.20833333	0.0
MINNELOVE_SYN_002	Veillonella parvula	0.03333333	0.03333333	0.0
MINNELOVE_SYN_003	Corynebacterium accolens	0.08333333	0.08333333	0.0
MINNELOVE_SYN_003	Dolosigranulum pigrum	0.125	0.125	0.0
MINNELOVE_SYN_003	Haemophilus influenzae	0.16666667	0.16666667	0.0
MINNELOVE_SYN_003	Lactobacillus crispatus	0.025	0.025	0.0
MINNELOVE_SYN_003	Moraxella catarrhalis	0.20833333	0.20833333	0.0
MINNELOVE_SYN_003	Neisseria subflava	0.06666667	0.06666667	0.0
MINNELOVE_SYN_003	Prevotella melaninogenica	0.06666667	0.06666667	0.0
MINNELOVE_SYN_003	Staphylococcus aureus	0.05	0.05	0.0
MINNELOVE_SYN_003	Streptococcus pneumoniae	0.15833333	0.15833333	0.0
MINNELOVE_SYN_003	Veillonella parvula	0.05	0.05	0.0
MINNELOVE_SYN_004	Corynebacterium accolens	0.225	0.225	0.0
MINNELOVE_SYN_004	Dolosigranulum pigrum	0.20833333	0.20833333	0.0
MINNELOVE_SYN_004	Haemophilus influenzae	0.05	0.05	0.0
MINNELOVE_SYN_004	Lactobacillus crispatus	0.075	0.075	0.0
MINNELOVE_SYN_004	Moraxella catarrhalis	0.04166667	0.04166667	0.0
MINNELOVE_SYN_004	Neisseria subflava	0.14166667	0.14166667	0.0
MINNELOVE_SYN_004	Prevotella melaninogenica	0.09166667	0.09166667	0.0
MINNELOVE_SYN_004	Staphylococcus aureus	0.03333333	0.03333333	0.0
MINNELOVE_SYN_004	Streptococcus pneumoniae	0.04166667	0.04166667	0.0
MINNELOVE_SYN_004	Veillonella parvula	0.09166667	0.09166667	0.0
MINNELOVE_SYN_005	Corynebacterium accolens	0.1	0.1	0.0
MINNELOVE_SYN_005	Dolosigranulum pigrum	0.00833333	0.00833333	0.0
MINNELOVE_SYN_005	Haemophilus influenzae	0.21666667	0.21666667	0.0
MINNELOVE_SYN_005	Lactobacillus crispatus	0.01666667	0.01666667	0.0
MINNELOVE_SYN_005	Moraxella catarrhalis	0.19166667	0.19166667	0.0
MINNELOVE_SYN_005	Neisseria subflava	0.025	0.025	0.0
MINNELOVE_SYN_005	Prevotella melaninogenica	0.05	0.05	0.0
MINNELOVE_SYN_005	Staphylococcus aureus	0.15	0.15	0.0
MINNELOVE_SYN_005	Streptococcus pneumoniae	0.19166667	0.19166667	0.0
MINNELOVE_SYN_005	Veillonella parvula	0.05	0.05	0.0
MINNELOVE_SYN_006	Corynebacterium accolens	0.10833333	0.10833333	0.0
MINNELOVE_SYN_006	Dolosigranulum pigrum	0.00833333	0.00833333	0.0
MINNELOVE_SYN_006	Haemophilus influenzae	0.19166667	0.19166667	0.0
MINNELOVE_SYN_006	Lactobacillus crispatus	0.025	0.025	0.0
MINNELOVE_SYN_006	Moraxella catarrhalis	0.18333333	0.18333333	0.0
MINNELOVE_SYN_006	Neisseria subflava	0.075	0.075	0.0
MINNELOVE_SYN_006	Prevotella melaninogenica	0.08333333	0.08333333	0.0
MINNELOVE_SYN_006	Staphylococcus aureus	0.10833333	0.10833333	0.0
MINNELOVE_SYN_006	Streptococcus pneumoniae	0.15833333	0.15833333	0.0
MINNELOVE_SYN_006	Veillonella parvula	0.05833333	0.05833333	0.0
MINNELOVE_SYN_007	Corynebacterium accolens	0.16666667	0.16666667	0.0
MINNELOVE_SYN_007	Dolosigranulum pigrum	0.30833333	0.30833333	0.0
MINNELOVE_SYN_007	Haemophilus influenzae	0.03333333	0.03333333	0.0
MINNELOVE_SYN_007	Lactobacillus crispatus	0.05833333	0.05833333	0.0
MINNELOVE_SYN_007	Moraxella catarrhalis	0.075	0.075	0.0
MINNELOVE_SYN_007	Neisseria subflava	0.1	0.1	0.0
MINNELOVE_SYN_007	Prevotella melaninogenica	0.075	0.075	0.0
MINNELOVE_SYN_007	Staphylococcus aureus	0.01666667	0.01666667	0.0
MINNELOVE_SYN_007	Streptococcus pneumoniae	0.01666667	0.01666667	0.0
MINNELOVE_SYN_007	Veillonella parvula	0.15	0.15	0.0
MINNELOVE_SYN_008	Corynebacterium accolens	0.08333333	0.08333333	0.0
MINNELOVE_SYN_008	Dolosigranulum pigrum	0.16666667	0.16666667	0.0
MINNELOVE_SYN_008	Haemophilus influenzae	0.11666667	0.11666667	0.0
MINNELOVE_SYN_008	Lactobacillus crispatus	0.025	0.025	0.0
MINNELOVE_SYN_008	Moraxella catarrhalis	0.225	0.225	0.0
MINNELOVE_SYN_008	Neisseria subflava	0.06666667	0.06666667	0.0
MINNELOVE_SYN_008	Prevotella melaninogenica	0.09166667	0.09166667	0.0
MINNELOVE_SYN_008	Staphylococcus aureus	0.06666667	0.06666667	0.0
MINNELOVE_SYN_008	Streptococcus pneumoniae	0.09166667	0.09166667	0.0
MINNELOVE_SYN_008	Veillonella parvula	0.06666667	0.06666667	0.0
