name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Corynebacterium accolens	SYN0005	S	18	2	20	0.16666667
Dolosigranulum pigrum	SYN0006	S	35	2	37	0.30833333
Haemophilus influenzae	SYN0002	S	2	2	4	0.03333333
Lactobacillus crispatus	SYN0010	S	5	2	7	0.05833333
Moraxella catarrhalis	SYN0003	S	7	2	9	0.07500000
Neisseria subflava	SYN0008	S	10	2	12	0.10000000
Prevotella melaninogenica	SYN0007	S	7	2	9	0.07500000
Staphylococcus aureus	SYN0004	S	0	2	2	0.01666667
Streptococcus pneumoniae	SYN0001	S	0	2	2	0.01666667
Veillonella parvula	SYN0009	S	16	2	18	0.15000000
