tax_id	abundance	estimated_counts	species	genus	family	phylum
SYN0005	0.18333333	22	Corynebacterium accolens	Corynebacterium	Corynebacteriaceae	Actinomycetota
SYN0006	0.29166667	35	Dolosigranulum pigrum	Dolosigranulum	Carnobacteriaceae	Bacillota
SYN0002	0.01666667	2	Haemophilus influenzae	Haemophilus	Pasteurellaceae	Pseudomonadota
SYN0010	0.05833333	7	Lactobacillus crispatus	Lactobacillus	Lactobacillaceae	Bacillota
SYN0003	0.06666667	8	Moraxella catarrhalis	Moraxella	Moraxellaceae	Pseudomonadota
SYN0008	0.12500000	15	Neisseria subflava	Neisseria	Neisseriaceae	Pseudomonadota
SYN0007	0.06666667	8	Prevotella melaninogenica	Prevotella	Prevotellaceae	Bacteroidota
SYN0004	0.03333333	4	Staphylococcus aureus	Staphylococcus	Staphylococcaceae	Bacillota
SYN0001	0.05833333	7	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Bacillota
SYN0009	0.10000000	12	Veillonella parvula	Veillonella	Veillonellaceae	Bacillota
