sample_id	species	genus	true_reads	true_relative_abundance
MINNELOVE_SYN_001	Streptococcus pneumoniae	Streptococcus	7	0.058333333333333334
MINNELOVE_SYN_001	Haemophilus influenzae	Haemophilus	2	0.016666666666666666
MINNELOVE_SYN_001	Moraxella catarrhalis	Moraxella	8	0.06666666666666667
MINNELOVE_SYN_001	Staphylococcus aureus	Staphylococcus	4	0.03333333333333333
MINNELOVE_SYN_001	Corynebacterium accolens	Corynebacterium	22	0.18333333333333332
MINNELOVE_SYN_001	Dolosigranulum pigrum	Dolosigranulum	35	0.2916666666666667
MINNELOVE_SYN_001	Prevotella melaninogenica	Prevotella	8	0.06666666666666667
MINNELOVE_SYN_001	Neisseria subflava	Neisseria	15	0.125
MINNELOVE_SYN_001	Veillonella parvula	Veillonella	12	0.1
MINNELOVE_SYN_001	Lactobacillus crispatus	Lactobacillus	7	0.058333333333333334
MINNELOVE_SYN_002	Streptococcus pneumoniae	Streptococcus	25	0.20833333333333334
MINNELOVE_SYN_002	Haemophilus influenzae	Haemophilus	9	0.075
MINNELOVE_SYN_002	Moraxella catarrhalis	Moraxella	29	0.24166666666666667
MINNELOVE_SYN_002	Staphylococcus aureus	Staphylococcus	7	0.058333333333333334
MINNELOVE_SYN_002	Corynebacterium accolens	Corynebacterium	12	0.1
MINNELOVE_SYN_002	Dolosigranulum pigrum	Dolosigranulum	9	0.075
MINNELOVE_SYN_002	Prevotella melaninogenica	Prevotella	9	0.075
MINNELOVE_SYN_002	Neisseria subflava	Neisseria	14	0.11666666666666667
MINNELOVE_SYN_002	Veillonella parvula	Veillonella	4	0.03333333333333333
MINNELOVE_SYN_002	Lactobacillus crispatus	Lactobacillus	2	0.016666666666666666
MINNELOVE_SYN_003	Streptococcus pneumoniae	Streptococcus	19	0.15833333333333333
MINNELOVE_SYN_003	Haemophilus influenzae	Haemophilus	20	0.16666666666666666
MINNELOVE_SYN_003	Moraxella catarrhalis	Moraxella	25	0.20833333333333334
MINNELOVE_SYN_003	Staphylococcus aureus	Staphylococcus	6	0.05
MINNELOVE_SYN_003	Corynebacterium accolens	Corynebacterium	10	0.08333333333333333
MINNELOVE_SYN_003	Dolosigranulum pigrum	Dolosigranulum	15	0.125
MINNELOVE_SYN_003	Prevotella melaninogenica	Prevotella	8	0.06666666666666667
MINNELOVE_SYN_003	Neisseria subflava	Neisseria	8	0.06666666666666667
MINNELOVE_SYN_003	Veillonella parvula	Veillonella	6	0.05
MINNELOVE_SYN_003	Lactobacillus crispatus	Lactobacillus	3	0.025
MINNELOVE_SYN_004	Streptococcus pneumoniae	Streptococcus	5	0.041666666666666664
MINNELOVE_SYN_004	Haemophilus influenzae	Haemophilus	6	0.05
MINNELOVE_SYN_004	Moraxella catarrhalis	Moraxella	5	0.041666666666666664
MINNELOVE_SYN_004	Staphylococcus aureus	Staphylococcus	4	0.03333333333333333
MINNELOVE_SYN_004	Corynebacterium accolens	Corynebacterium	27	0.225
MINNELOVE_SYN_004	Dolosigranulum pigrum	Dolosigranulum	25	0.20833333333333334
MINNELOVE_SYN_004	Prevotella melaninogenica	Prevotella	11	0.09166666666666666
MINNELOVE_SYN_004	Neisseria subflava	Neisseria	17	0.14166666666666666
MINNELOVE_SYN_004	Veillonella parvula	Veillonella	11	0.09166666666666666
MINNELOVE_SYN_004	Lactobacillus crispatus	Lactobacillus	9	0.075
MINNELOVE_SYN_005	Streptococcus pneumoniae	Streptococcus	23	0.19166666666666668
MINNELOVE_SYN_005	Haemophilus influenzae	Haemophilus	26	0.21666666666666667
MINNELOVE_SYN_005	Moraxella catarrhalis	Moraxella	23	0.19166666666666668
MINNELOVE_SYN_005	Staphylococcus aureus	Staphylococcus	18	0.15
MINNELOVE_SYN_005	Corynebacterium accolens	Corynebacterium	12	0.1
MINNELOVE_SYN_005	Dolosigranulum pigrum	Dolosigranulum	1	0.008333333333333333
MINNELOVE_SYN_005	Prevotella melaninogenica	Prevotella	6	0.05
MINNELOVE_SYN_005	Neisseria subflava	Neisseria	3	0.025
MINNELOVE_SYN_005	Veillonella parvula	Veillonella	6	0.05
MINNELOVE_SYN_005	Lactobacillus crispatus	Lactobacillus	2	0.016666666666666666
MINNELOVE_SYN_006	Streptococcus pneumoniae	Streptococcus	19	0.15833333333333333
MINNELOVE_SYN_006	Haemophilus influenzae	Haemophilus	23	0.19166666666666668
MINNELOVE_SYN_006	Moraxella catarrhalis	Moraxella	22	0.18333333333333332
MINNELOVE_SYN_006	Staphylococcus aureus	Staphylococcus	13	0.10833333333333334
MINNELOVE_SYN_006	Corynebacterium accolens	Corynebacterium	13	0.10833333333333334
MINNELOVE_SYN_006	Dolosigranulum pigrum	Dolosigranulum	1	0.008333333333333333
MINNELOVE_SYN_006	Prevotella melaninogenica	Prevotella	10	0.08333333333333333
MINNELOVE_SYN_006	Neisseria subflava	Neisseria	9	0.075
MINNELOVE_SYN_006	Veillonella parvula	Veillonella	7	0.058333333333333334
MINNELOVE_SYN_006	Lactobacillus crispatus	Lactobacillus	3	0.025
MINNELOVE_SYN_007	Streptococcus pneumoniae	Streptococcus	2	0.016666666666666666
MINNELOVE_SYN_007	Haemophilus influenzae	Haemophilus	4	0.03333333333333333
MINNELOVE_SYN_007	Moraxella catarrhalis	Moraxella	9	0.075
MINNELOVE_SYN_007	Staphylococcus aureus	Staphylococcus	2	0.016666666666666666
MINNELOVE_SYN_007	Corynebacterium accolens	Corynebacterium	20	0.16666666666666666
MINNELOVE_SYN_007	Dolosigranulum pigrum	Dolosigranulum	37	0.30833333333333335
MINNELOVE_SYN_007	Prevotella melaninogenica	Prevotella	9	0.075
MINNELOVE_SYN_007	Neisseria subflava	Neisseria	12	0.1
MINNELOVE_SYN_007	Veillonella parvula	Veillonella	18	0.15
MINNELOVE_SYN_007	Lactobacillus crispatus	Lactobacillus	7	0.058333333333333334
MINNELOVE_SYN_008	Streptococcus pneumoniae	Streptococcus	11	0.09166666666666666
MINNELOVE_SYN_008	Haemophilus influenzae	Haemophilus	14	0.11666666666666667
MINNELOVE_SYN_008	Moraxella catarrhalis	Moraxella	27	0.225
MINNELOVE_SYN_008	Staphylococcus aureus	Staphylococcus	8	0.06666666666666667
MINNELOVE_SYN_008	Corynebacterium accolens	Corynebacterium	10	0.08333333333333333
MINNELOVE_SYN_008	Dolosigranulum pigrum	Dolosigranulum	20	0.16666666666666666
MINNELOVE_SYN_008	Prevotella melaninogenica	Prevotella	11	0.09166666666666666
MINNELOVE_SYN_008	Neisseria subflava	Neisseria	8	0.06666666666666667
MINNELOVE_SYN_008	Veillonella parvula	Veillonella	8	0.06666666666666667
MINNELOVE_SYN_008	Lactobacillus crispatus	Lactobacillus	3	0.025
