name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Corynebacterium accolens	SYN0005	S	10	2	12	0.10000000
Dolosigranulum pigrum	SYN0006	S	0	1	1	0.00833333
Haemophilus influenzae	SYN0002	S	24	2	26	0.21666667
Lactobacillus crispatus	SYN0010	S	0	2	2	0.01666667
Moraxella catarrhalis	SYN0003	S	21	2	23	0.19166667
Neisseria subflava	SYN0008	S	1	2	3	0.02500000
Prevotella melaninogenica	SYN0007	S	4	2	6	0.05000000
Staphylococcus aureus	SYN0004	S	16	2	18	0.15000000
Streptococcus pneumoniae	SYN0001	S	21	2	23	0.19166667
Veillonella parvula	SYN0009	S	4	2	6	0.05000000
