species	MINNELOVE_SYN_001	MINNELOVE_SYN_002	MINNELOVE_SYN_003	MINNELOVE_SYN_004	MINNELOVE_SYN_005	MINNELOVE_SYN_006	MINNELOVE_SYN_007	MINNELOVE_SYN_008
Corynebacterium accolens	0.18333333	0.10000000	0.08333333	0.22500000	0.10000000	0.10833333	0.16666667	0.08333333
Dolosigranulum pigrum	0.29166667	0.07500000	0.12500000	0.20833333	0.00833333	0.00833333	0.30833333	0.16666667
Haemophilus influenzae	0.01666667	0.07500000	0.16666667	0.05000000	0.21666667	0.19166667	0.03333333	0.11666667
Lactobacillus crispatus	0.05833333	0.01666667	0.02500000	0.07500000	0.01666667	0.02500000	0.05833333	0.02500000
Moraxella catarrhalis	0.06666667	0.24166667	0.20833333	0.04166667	0.19166667	0.18333333	0.07500000	0.22500000
Neisseria subflava	0.12500000	0.11666667	0.06666667	0.14166667	0.02500000	0.07500000	0.10000000	0.06666667
Prevotella melaninogenica	0.06666667	0.07500000	0.06666667	0.09166667	0.05000000	0.08333333	0.07500000	0.09166667
Staphylococcus aureus	0.03333333	0.05833333	0.05000000	0.03333333	0.15000000	0.10833333	0.01666667	0.06666667
Streptococcus pneumoniae	0.05833333	0.20833333	0.15833333	0.04166667	0.19166667	0.15833333	0.01666667	0.09166667
Veillonella parvula	0.10000000	0.03333333	0.05000000	0.09166667	0.05000000	0.05833333	0.15000000	0.06666667
